Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Population,Area,Density,Total_Crime,Crime_Rate_per_100k,Hotspot_Label,Hotspot,Date
Kwazulu/Natal,Newcastle,All Theft Not Mentioned Elsewhere,1396.0,1180.0,990.0,837.0,879.0,827.0,882.0,809.0,831.0,788.0,802.0,10267300.0,94361.0,108.8,10221.0,99.5490537921362,1,1,2025-03-01
Gauteng,Jhb Central,Theft Of Motor Vehicle And Motorcycle,1395.0,1509.0,1249.0,1062.0,836.0,851.0,641.0,639.0,572.0,547.0,406.0,12272263.0,18178.0,675.1,9707.0,79.09706628679649,1,1,2025-04-01
Western Cape,Kuilsrivier,All Theft Not Mentioned Elsewhere,1390.0,1249.0,1226.0,1436.0,1350.0,1321.0,1469.0,1429.0,1513.0,1687.0,1417.0,5822734.0,129462.0,45.0,15487.0,265.9747122228149,1,1,2025-05-01
Eastern Cape,Humewood,Theft Out Of Or From Motor Vehicle,7.0,1256.0,1048.0,920.0,846.0,990.0,950.0,1004.0,931.0,1012.0,1046.0,5404868.0,168966.0,38.8,10010.0,185.20341292331284,1,1,2025-06-01
North West,Rustenburg,Theft Out Of Or From Motor Vehicle,1377.0,1155.0,1122.0,973.0,1097.0,1002.0,1138.0,1094.0,977.0,1105.0,1056.0,5404868.0,104882.0,33.5,12096.0,223.7982500220172,1,1,2025-07-01
Kwazulu/Natal,Richards Bay,All Theft Not Mentioned Elsewhere,1374.0,1108.0,1161.0,1257.0,1089.0,1038.0,1022.0,1038.0,988.0,801.0,676.0,10267300.0,94361.0,108.8,11552.0,112.51253981085583,1,1,2025-08-01
Gauteng,Jhb Central,Common Assault,1365.0,1138.0,1361.0,1435.0,9.0,1383.0,1351.0,1226.0,1130.0,991.0,907.0,12272263.0,18178.0,675.1,12296.0,100.19341990959614,1,1,2025-09-01
Western Cape,Brackenfell,All Theft Not Mentioned Elsewhere,1364.0,1254.0,1319.0,1425.0,1315.0,1021.0,1166.0,1123.0,1005.0,1155.0,1192.0,5822734.0,129462.0,45.0,13339.0,229.08482510106074,1,1,2025-10-01
Mpumalanga,Vosman,All Theft Not Mentioned Elsewhere,1362.0,1020.0,896.0,835.0,672.0,721.0,689.0,621.0,690.0,726.0,723.0,4039939.0,76495.0,52.8,8955.0,221.66176271473407,1,1,2025-11-01
Kwazulu/Natal,Durban Central,Commercial Crime,1358.0,2180.0,1262.0,1392.0,1206.0,1228.0,1158.0,1141.0,1127.0,969.0,1050.0,10267300.0,94361.0,108.8,14071.0,137.04674062314336,1,1,2025-12-01
