Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Population,Area,Density,Total_Crime,Crime_Rate_per_100k,Hotspot_Label,Hotspot,Date
Gauteng,Booysens,Burglary At Residential Premises,1871.0,1454.0,1314.0,1219.0,1294.0,1347.0,940.0,540.0,584.0,555.0,559.0,12272263.0,18178.0,675.1,11677.0,95.14952539723114,1,1,2019-09-01
Gauteng,Moroka,Common Assault,1865.0,1686.0,1753.0,1709.0,1604.0,1407.0,1340.0,1216.0,1168.0,1140.0,1171.0,12272263.0,18178.0,675.1,16059.0,130.85606134744668,1,1,2019-10-01
Western Cape,Stellenbosch,All Theft Not Mentioned Elsewhere,1864.0,2077.0,1805.0,1996.0,1743.0,1949.0,1906.0,1909.0,2143.0,2093.0,2379.0,5822734.0,129462.0,45.0,21864.0,375.4937113733858,1,1,2019-11-01
Gauteng,Booysens,Theft Of Motor Vehicle And Motorcycle,1861.0,2028.0,1624.0,1366.0,1294.0,1170.0,1049.0,681.0,709.0,11.0,574.0,12272263.0,18178.0,675.1,12367.0,100.77196031408387,1,1,2019-12-01
Gauteng,Boksburg North,All Theft Not Mentioned Elsewhere,1854.0,1880.0,1697.0,1757.0,1679.0,1576.0,1422.0,1406.0,1517.0,1268.0,1311.0,12272263.0,18178.0,675.1,17367.0,141.51424232026318,1,1,2020-01-01
Western Cape,Bishop Lavis,All Theft Not Mentioned Elsewhere,1836.0,2288.0,2217.0,1855.0,1810.0,1211.0,1508.0,1423.0,1483.0,1594.0,1409.0,5822734.0,129462.0,45.0,18634.0,320.0214881875078,1,1,2020-02-01
North West,Rustenburg,Burglary At Residential Premises,1807.0,1519.0,1651.0,1823.0,1885.0,1267.0,1389.0,1603.0,1270.0,1243.0,1363.0,5404868.0,104882.0,33.5,16820.0,311.2009395974148,1,1,2020-03-01
Kwazulu/Natal,Durban Central,Shoplifting,1802.0,1517.0,1481.0,1787.0,2570.0,1843.0,1958.0,1840.0,1694.0,1589.0,1426.0,10267300.0,94361.0,108.8,19507.0,189.9915264967421,1,1,2020-04-01
Gauteng,Hillbrow,Common Assault,1791.0,1859.0,2331.0,2752.0,2502.0,2208.0,10.0,1568.0,1425.0,1212.0,1170.0,12272263.0,18178.0,675.1,18828.0,153.41913712246878,1,1,2020-05-01
Limpopo,Thohoyandou,Common Assault,1787.0,1489.0,1476.0,1487.0,860.0,577.0,827.0,544.0,445.0,528.0,545.0,5404868.0,125755.0,43.0,10565.0,195.47193381966036,1,1,2020-06-01
Gauteng,Or Tambo Intern Airp,All Theft Not Mentioned Elsewhere,1783.0,2180.0,2191.0,1998.0,1989.0,1691.0,1575.0,1658.0,1533.0,1396.0,1373.0,12272263.0,18178.0,675.1,19367.0,157.8111551227349,1,1,2020-07-01
Gauteng,Benoni,All Theft Not Mentioned Elsewhere,1769.0,1638.0,1637.0,1702.0,1601.0,1500.0,1445.0,1446.0,1418.0,1316.0,1114.0,12272263.0,18178.0,675.1,16586.0,135.150297870898,1,1,2020-08-01
Gauteng,Brooklyn,Burglary At Residential Premises,1767.0,1634.0,1304.0,1385.0,1286.0,1112.0,1107.0,996.0,760.0,792.0,831.0,12272263.0,18178.0,675.1,12974.0,105.71807334963405,1,1,2020-09-01
Gauteng,Linden,All Theft Not Mentioned Elsewhere,1765.0,1922.0,2193.0,1883.0,1754.0,1586.0,1907.0,1766.0,1590.0,1624.0,1288.0,12272263.0,18178.0,675.1,19278.0,157.0859425030249,1,1,2020-10-01
Gauteng,Wierdabrug,All Theft Not Mentioned Elsewhere,1733.0,1728.0,2003.0,2116.0,1925.0,1825.0,1750.0,1218.0,1338.0,1152.0,1188.0,12272263.0,18178.0,675.1,17976.0,146.47665226861582,1,1,2020-11-01
Gauteng,Brixton,All Theft Not Mentioned Elsewhere,1726.0,1366.0,1333.0,1125.0,852.0,1016.0,1149.0,886.0,1097.0,1192.0,1027.0,12272263.0,18178.0,675.1,12769.0,104.0476397873807,1,1,2020-12-01
Western Cape,Woodstock,Theft Out Of Or From Motor Vehicle,1725.0,1634.0,1308.0,1649.0,1440.0,1159.0,1086.0,1061.0,1210.0,1106.0,1097.0,5822734.0,129462.0,45.0,14475.0,248.59456056210018,1,1,2021-01-01
Gauteng,Florida,All Theft Not Mentioned Elsewhere,1688.0,1508.0,1511.0,1656.0,1533.0,1724.0,1679.0,1631.0,1535.0,1421.0,1567.0,12272263.0,18178.0,675.1,17453.0,142.21500957076947,1,1,2021-02-01
