ds,yhat,yhat_lower,yhat_upper
2015-01-31,544.4956651859169,362.78609725213494,746.1837767869405
2015-02-28,320.6875187280398,134.3242963837271,520.9522857652283
2015-03-31,414.1022365306739,234.33341985014485,604.0759183315118
2015-04-30,462.7256758429834,269.0935979695502,652.8915331520121
2015-05-31,366.6912513520243,170.67532473744228,550.5205778104656
2015-06-30,482.6427168092374,301.5360742922325,674.5760428380125
2015-07-31,330.8039881155513,132.6200663043748,533.5806532453479
2015-08-31,315.28020969572475,112.56210662579122,504.643937857335
2015-09-30,340.8617331828674,149.84222643737124,530.9708199751577
2015-10-31,385.68096058010104,188.99491313190842,576.5437258577217
2015-11-30,385.8389213086797,183.24413494167675,576.8751150550048
2015-12-31,410.61198235612693,229.10290824905834,616.0654268541869
2016-01-31,514.7800607445403,324.0142139300933,710.3085858907269
2016-02-29,343.1916475639449,135.7136934255807,525.3908116751342
2016-03-31,398.05296324029865,202.00837456566938,590.1502286186195
2016-04-30,366.72990716999544,166.49961047329438,544.7765537100189
2016-05-31,368.25098873271094,187.46312866318954,566.7525396343068
2016-06-30,361.7870720852493,162.00061404513906,560.4314916922449
2016-07-31,315.91359561941624,119.37075688708255,498.7470033878884
2016-08-31,317.53165291873495,122.29661819809319,509.5071449566099
2016-09-30,293.39619902424033,94.86468844652974,490.34834571310904
2016-10-31,370.96058439587335,174.35747077692642,550.2636306330933
2016-11-30,310.5629838650456,106.89864696857744,501.2971914148755
2016-12-31,353.0650370221495,159.4925577622798,543.7119446775653
2017-01-31,442.0054173442812,242.42397292387344,639.6732302534034
2017-02-28,282.30263441581883,82.98996346495522,468.75844627407173
2017-03-31,349.4176370813112,150.74810881233836,543.1564012306767
2017-04-30,345.12874250223325,158.2386136140269,520.6945218045925
2017-05-31,314.09949543515194,113.44244238941793,499.4312118372078
2017-06-30,348.7067926777676,161.54109118466997,543.8017682489103
2017-07-31,267.9486981601681,83.2957648104234,460.44710970076886
2017-08-31,263.2952064196261,73.13822256136372,460.5756337386779
2017-09-30,255.54924174221418,61.65248785810856,444.3036374923047
2017-10-31,322.13849252874627,124.5869254994633,514.0153099179663
2017-11-30,281.9210810295633,88.97720937858988,474.4630574647094
2017-12-31,318.83368193555555,120.64437576810676,511.6286373925625
2018-01-31,413.2502430956481,219.3595661314018,600.1111593966846
2018-02-28,221.30036385759132,27.20536377581674,407.0588248587056
2018-03-31,301.4877861391104,110.11450273182191,493.8050849690314
2018-04-30,324.0660092376218,135.47392616598736,521.9740944148293
2018-05-31,260.7278050091398,57.46663531376714,461.55260311636215
2018-06-30,336.3589874414792,145.80147183067757,530.4232130448188
2018-07-31,220.484124037898,31.224618264647276,416.07773076601524
2018-08-31,210.61513625230583,13.825929916827985,389.2698090132375
2018-09-30,219.93272656521629,21.81497941647455,420.7080369790744
2018-10-31,276.1083612151326,83.61413321499248,460.0235040637602
2018-11-30,256.56931058045603,65.15219848513654,451.07684707117306
2018-12-31,288.3605500509491,104.01002263433585,468.6749954331248
2019-01-31,388.639996480928,200.98942694724172,576.0152974905241
2019-02-28,165.54397475013474,-32.40841219404265,357.1698356788393
2019-03-31,259.7471163579802,45.52089034377354,447.06820310366544
2019-04-30,309.3406557966862,115.91771323590135,503.241860648011
2019-05-31,214.30866810345555,22.38609084230107,410.9784509560964
2019-06-30,331.2302336969417,147.23989172939977,542.2487207832031
2019-07-31,180.39394181138658,-11.759361091809112,364.4563356036987
2019-08-31,165.87583718302764,-19.65949776362502,367.33230751217525
2019-09-30,192.43059337153738,0.9798429954285832,373.38359243830166
2019-10-31,238.2554945626177,49.12162532232869,430.72308255261873
2019-11-30,239.38668799474948,34.34900239425988,420.89789004783876
2019-12-31,265.2343355040924,74.84288645964911,445.6185131218698
2020-01-31,370.4770003543074,185.86635247633345,573.5724440092362
2020-02-29,199.89384554162598,6.1655771428138,395.7426258815165
2020-03-31,255.82974774907603,62.597746960425525,454.16219922126265
2020-04-30,226.03937933884558,21.703259410558253,412.25528062367147
2020-05-31,229.14423815070046,37.57124260365061,421.3535918185021
2020-06-30,224.2130091632356,33.14215189899607,418.18683886675086
2020-07-31,179.9233099233171,-13.363441844842217,355.5318558394207
2020-08-31,183.12514444797955,-7.203499948459933,385.27577258520444
2020-09-30,160.54091500720395,-25.411101365589236,348.49755902141027
2020-10-31,239.7082323143393,42.54717466469856,432.2254977894371
2020-11-30,180.86185625983148,-12.31996273334543,373.2288199836077
2020-12-31,224.96684137557898,39.073057109119276,413.1910604923252
2021-01-31,315.67467987403353,134.57823234469774,512.9403620434935
2021-02-28,157.56831078208427,-35.001674975038846,363.2510769647335
2021-03-31,226.45077158718794,32.698218825744036,413.8857420653674
2021-04-30,223.87232036890688,42.525490603512,420.7344451341697
2021-05-31,194.627845501762,10.294698016175827,381.345097602017
2021-06-30,230.96234164735233,39.554589970259265,430.1968197061685
2021-07-31,151.98901932086747,-30.452118440655095,341.9601163090111
2021-08-31,149.12029977159378,-56.07495910212728,341.21568516819923
2021-09-30,143.10166773737643,-48.70442826230387,343.71409532424866
2021-10-31,211.4758289221396,12.593157358156272,410.16925947079153
2021-11-30,172.9857494454409,-17.885900086879854,355.66344249329404
2021-12-31,211.6832601078546,23.962429255907217,411.0033399582243
2022-01-31,307.88476170851004,113.043740840884,493.91804155353617
2022-02-28,117.54708673913974,-78.77940803312343,335.9976838872345
2022-03-31,199.3034039862191,8.593144654779016,389.5189580743724
2022-04-30,223.39991253517348,26.23424874257463,420.99225771319686
2022-05-31,161.630603284272,-23.342986682955065,349.40466657617714
